,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
10,9.945487846074223e-07,1.0945740884742439e-06,1.2502190796429503e-06,1.1511093575138437e-06,1.3314655267034123e-06,1.152884887838869e-06,1.3545643338907706e-06,1.746565523747003e-06,1.6633051116115758e-06,1.2701777174555376e-06,1.1694007066360336e-06,1.833260172473701e-06,1.3373361933087746e-06,1.399678255372925e-06,1.6932157848347516e-06,1.4951736639937975e-06
11,8.256244480267896e-07,1.2138068485224656e-06,1.331249766954292e-06,1.5127354076090583e-06,1.3518863747023407e-06,1.0816470597376982e-06,1.4833356356564023e-06,1.5275770391552938e-06,1.6632700022733713e-06,1.275165558192433e-06,1.1270921984071377e-06,1.7270397552792094e-06,1.1449561847131049e-06,1.211833262415543e-06,1.6598802872629778e-06,1.506576585244898e-06
12,1.0164672478409862e-06,1.3782489734499027e-06,1.2404262991158443e-06,1.656204129823878e-06,1.1906031722730751e-06,1.0845148932260304e-06,1.5619042161423056e-06,1.3020113990604277e-06,1.9797510326616343e-06,1.1896752571194714e-06,1.307247551114198e-06,1.5729927146880727e-06,1.0728605696768885e-06,1.137148074054483e-06,1.4991119385466485e-06,1.6392560402047013e-06
13,1.0580777299784813e-06,1.0645825709713181e-06,1.3198899091380325e-06,1.2638397004978037e-06,1.2533701926448824e-06,1.023964574809414e-06,1.2774842731530507e-06,1.3074351619969766e-06,2.1457157184957295e-06,1.1160787809391178e-06,1.2799022367237592e-06,1.317288360435417e-06,1.0465556392639058e-06,1.2447010711849413e-06,1.5175111610665633e-06,1.5059532400622735e-06
14,1.0413985630777016e-06,1.0367792716723716e-06,1.662354950662405e-06,1.2514255701738937e-06,1.2497301706460016e-06,1.2396812124476876e-06,1.2370042389257897e-06,1.3121147797739044e-06,1.9272546799827215e-06,1.3889228806092153e-06,1.1151632215152597e-06,1.4561842952602062e-06,1.144401901040729e-06,1.138939447191897e-06,1.4896388331351113e-06,1.3094685904859677e-06
15,1.151583022232875e-06,1.1945674634709056e-06,1.50499471923801e-06,1.25126996425679e-06,1.2343976148144813e-06,1.3491779488169897e-06,1.3027370958082905e-06,1.2635036259953645e-06,1.783840481363293e-06,1.5281825659323995e-06,1.0837174146046519e-06,1.6844464035226803e-06,1.221671408566629e-06,1.189222021531038e-06,1.4849656995459963e-06,1.5955098159605976e-06
16,1.1382377776254742e-06,1.258932884739142e-06,1.1067630914880125e-06,1.2882354320413344e-06,1.2036004377961053e-06,1.1698151195343064e-06,1.6167090008024345e-06,1.2705405637721758e-06,1.7692136212956589e-06,1.4343848379757764e-06,1.2244092902862674e-06,1.8732630923837674e-06,1.2871931075622884e-06,1.3824810290661452e-06,1.5463966792830615e-06,1.8722190184869252e-06
17,1.0225440518794154e-06,1.2489447416287574e-06,1.1146692560074405e-06,1.3721681389768698e-06,1.1495005791691845e-06,1.20702699732219e-06,1.5564480806204677e-06,1.2770319923768666e-06,1.8789951051693607e-06,1.489294459811157e-06,1.3708997963248615e-06,1.960855943115056e-06,1.398823539600961e-06,1.3888046227278459e-06,1.6566687501806506e-06,1.7715678322861755e-06
18,1.0385950411025941e-06,1.2391887833718797e-06,1.1988652686593839e-06,1.4234672018200369e-06,1.2271827556974134e-06,1.2663487398125322e-06,1.3034371203424663e-06,1.4053250690081094e-06,2.4932993451173687e-06,1.4392257006350072e-06,1.4046118635583732e-06,1.8951514429907195e-06,1.3990864049107627e-06,1.4402749392067754e-06,1.9958138749867978e-06,1.8060959851879783e-06
19,9.949569165125316e-07,1.360141423818366e-06,1.1599504955099964e-06,1.380146259597208e-06,1.3077067351573753e-06,1.2816150979430735e-06,1.342182845597083e-06,1.2946156032997855e-06,2.4025273813874862e-06,1.3945104884573951e-06,1.3457071819345261e-06,1.942315787192358e-06,1.144784041543935e-06,1.477769070800728e-06,1.8155101078005102e-06,1.6398037902009223e-06
